nct_id,completion_date,due_12m,sponsor_class,enrollment,classification,match_basis,pmid,doi,url_opened,pub_title,pub_year,journal,rationale,registry_url,conditions,conditions
NCT02947841,2017-07,yes,OTHER,22,FOUND_RESULTS,NCT_ID_MATCH,30637283,10.1002/mdc3.12685,https://pubmed.ncbi.nlm.nih.gov/30637283/,Alternating Thalamic Deep Brain Stimulation for Essential Tremor: A Trial to Reduce Habituation,2018,Mov Disord Clin Pract,"Europe PMC indexed the NCT ID to this paper; abstract matches registry exactly: OHSU, randomized placebo-controlled, 22 enrolled, TETRAS primary at 12 weeks",https://clinicaltrials.gov/study/NCT02947841,Essential Tremor; Deep Brain Stimulation,Essential Tremor; Deep Brain Stimulation
NCT02346409,2018-02-16,yes,OTHER_GOV,20,FOUND_RESULTS,SPECIFICS_MATCH,37097344,10.1007/s13311-023-01372-6,https://pubmed.ncbi.nlm.nih.gov/37097344/,Cerebellar Transcranial Alternating Current Stimulation in Essential Tremor Patients with Thalamic Stimulation: A Proof-of-Concept Study,2023,Neurotherapeutics,"ClinicalTrials.gov record itself lists this paper as its RESULT reference; Paris Brain Institute, 21 patients vs 20 registered, matches official title exactly",https://clinicaltrials.gov/study/NCT02346409,Essential Tremor,Essential Tremor
NCT02052271,2018-03-27,yes,OTHER_GOV,16,NOT_FOUND,NONE,,,,,,,"No NCT hit; no registry references; keyword searches for cathodal cerebellar tDCS in ET (Paris, 2017-2025) returned only the tACS paper for NCT02346409 and reviews",https://clinicaltrials.gov/study/NCT02052271,Essential Tremor,Essential Tremor
NCT02704793,2018-05,yes,OTHER,23,FOUND_RESULTS,SPECIFICS_MATCH,31624048,10.1016/j.brs.2019.10.003,https://pubmed.ncbi.nlm.nih.gov/31624048/,"Cerebellar repetitive transcranial magnetic stimulation (rTMS) for essential tremor: A double-blind, sham-controlled, crossover, add-on clinical trial",2020,Brain Stimul,"Mashhad paper (Shoeibi, the registry PI, co-author): 23 patients (registry 23), 1 Hz cerebellar rTMS vs sham crossover; NCT ID not in abstract",https://clinicaltrials.gov/study/NCT02704793,Essential Tremor,Essential Tremor
NCT03780426,2019-12-01,yes,OTHER,30,FOUND_RESULTS,NCT_ID_MATCH,41298510,10.1038/s41531-025-01182-x,https://pubmed.ncbi.nlm.nih.gov/41298510/,Transcranial static magnetic field stimulation of the primary motor cortex in essential tremor: a randomized pilot study,2025,NPJ Parkinsons Dis,"Abstract states NCT03780426; 27 randomized, 23 analysed (registry 30)",https://clinicaltrials.gov/study/NCT03780426,Essential Tremor,Essential Tremor
NCT03935581,2020-04-28,yes,INDUSTRY,20,FOUND_RESULTS,NCT_ID_MATCH,32815611,10.1002/mds.28226,https://pubmed.ncbi.nlm.nih.gov/32815611/,Echo-Focusing in Transcranial Focused Ultrasound Thalamotomy for Essential Tremor: A Feasibility Study,2020,Mov Disord,"Abstract cites NCT03935581; 12 Sunnybrook patients; second results paper from Yonsei (PMID 33510610) also carries the NCT ID, 8 patients; 12+8=20 matches registry",https://clinicaltrials.gov/study/NCT03935581,"Tremor, Essential; Neurologic Manifestations; Tremor","Tremor, Essential; Neurologic Manifestations; Tremor"
NCT02264925,2020-11-19,yes,OTHER,12,FOUND_RESULTS,SPECIFICS_MATCH,38102180,10.1038/s41598-023-49511-5,https://pubmed.ncbi.nlm.nih.gov/38102180/,Usefulness of thalamic beta activity for closed-loop therapy in essential tremor,2023,Sci Rep,"Bordeaux paper (Guehl, Langbour, Burbaud = registry investigators): VIM LFP recordings with Activa PC+S in 10 ET patients (registry 12), 3-24 months; NCT ID not cited",https://clinicaltrials.gov/study/NCT02264925,Essential Tremor,Essential Tremor
NCT02960243,2020-12,yes,OTHER,6,FOUND_RESULTS,SPECIFICS_MATCH,30625492,10.1159/000495413,https://pubmed.ncbi.nlm.nih.gov/30625492/,Unilateral Thalamic Deep Brain Stimulation for Voice Tremor,2018,Stereotact Funct Neurosurg,"UBC paper matches registry design exactly (randomized blinded L/R/bilateral/OFF, voice ratings); 7 vs 6 registered; published two years before registry completion date; least secure FOUND row",https://clinicaltrials.gov/study/NCT02960243,"Essential Voice Tremor; Deep Brain Stimulation; Essential Tremor; Laryngeal Diseases; Action Tremor; Tremor, Nerve","Essential Voice Tremor; Deep Brain Stimulation; Essential Tremor; Laryngeal Diseases; Action Tremor; Tremor, Nerve"
NCT03875404,2021-02-12,yes,OTHER,9,UNCERTAIN,NONE,34340623,10.1177/19714009211036689,https://pubmed.ncbi.nlm.nih.gov/34340623/,Directed stimulation of the dentato-rubro-thalamic tract for deep brain stimulation in essential tremor: a blinded clinical trial,2022,Neuroradiol J,"Mayo Florida (Middlebrooks, registry PI) blinded crossover in 6 ET patients, but uses diffusion tractography whereas registry intervention is functional MRI, enrolment 9, NCT not cited, full text not retrievable",https://clinicaltrials.gov/study/NCT03875404,Essential Tremor,Essential Tremor
NCT05480215,2021-12-16,yes,INDUSTRY,20,NOT_FOUND,NONE,,,,,,,"No NCT hit; searches for Cala Trio Trio+ bands (2021-2026) returned only RWE studies, a pragmatic RCT, reviews and a case report, none a 20-patient band study",https://clinicaltrials.gov/study/NCT05480215,Essential Tremor; Parkinson Disease,Essential Tremor; Parkinson Disease
NCT05177900,2022-01-27,yes,OTHER,9,FOUND_RESULTS,NCT_ID_MATCH,36404213,10.1016/j.neurom.2022.09.012,https://pubmed.ncbi.nlm.nih.gov/36404213/,Interphase Gaps in Symmetric Biphasic Pulses Reduce the Therapeutic Window in Ventral Intermediate Nucleus of the Thalamus-Deep Brain Stimulation for Essential Tremor,2023,Neuromodulation,"Abstract states registration NCT05177900; KU Leuven, 9 patients (registry 9)",https://clinicaltrials.gov/study/NCT05177900,Essential Tremor,Essential Tremor
NCT02443181,2022-02,yes,OTHER,5,FOUND_RESULTS,NCT_ID_MATCH,34955714,10.3389/fnins.2021.749705,https://pubmed.ncbi.nlm.nih.gov/34955714/,Closing the Loop With Cortical Sensing: The Development of Adaptive Deep Brain Stimulation for Essential Tremor Using the Activa PC+S,2021,Front Neurosci,"Full text identifies the study as conducted under NCT02443181 (UW, Activa PC+S) and summarises results from four participants; written as a programme summary, primary data papers do not cite the NCT",https://clinicaltrials.gov/study/NCT02443181,Essential Tremor,Essential Tremor
NCT04725045,2022-04-14,yes,OTHER,28,FOUND_RESULTS,NCT_ID_MATCH,38721121,10.3389/fneur.2024.1366227,https://pubmed.ncbi.nlm.nih.gov/38721121/,Testing of symmetric biphasic stimulation in Vim-DBS ET patients: a randomized-controlled pilot study,2024,Front Neurol,Full text methods state NCT04725045; KU Leuven randomized double-blind crossover in 7 ET patients (registry 28 covers a broader programme),https://clinicaltrials.gov/study/NCT04725045,Parkinson Disease; Essential Tremor,Parkinson Disease; Essential Tremor
NCT05157321,2022-04-30,yes,OTHER,30,FOUND_RESULTS,NCT_ID_MATCH,38951972,10.3988/jcn.2023.0348,https://pubmed.ncbi.nlm.nih.gov/38951972/,"Efficacy of Cerebellar Transcranial Magnetic Stimulation in Treating Essential Tremor: A Randomized, Sham-Controlled Trial",2024,J Clin Neurol,Full text: protocol registered NCT05157321; Al-Azhar sham-controlled cerebellar rTMS RCT; 45 analysed vs 30 registered,https://clinicaltrials.gov/study/NCT05157321,Essential Tremor,Essential Tremor
NCT04661241,2022-06-15,yes,OTHER,6,NOT_FOUND,NONE,,,,,,,"No NCT hit; NYU MRgFUS targeting searches found only a retrospective 23-patient tractography comparison and case reports, none the 6-subject targeting study",https://clinicaltrials.gov/study/NCT04661241,"Tremor, Essential; Parkinson's Disease","Tremor, Essential; Parkinson's Disease"
NCT04880616,2022-06-08,yes,INDUSTRY,31,MENTIONED_ONLY,NCT_ID_MATCH,40415659,10.1002/mdc3.70147,https://pubmed.ncbi.nlm.nih.gov/40415659/,Current and Emerging Therapeutic Targets for Essential Tremor: A Critical Appraisal of Recent Preclinical and Clinical Studies,2025,Mov Disord Clin Pract,NCT04880616 appears only in two reviews; review states NBI-827104 failed its efficacy endpoints citing only an MDS 2023 conference abstract; no peer-reviewed results paper,https://clinicaltrials.gov/study/NCT04880616,Essential Tremor,Essential Tremor
NCT05106816,2022-09-20,yes,OTHER,40,NOT_FOUND,NONE,,,,,,,"No NCT hit; searches for vibrotactile stimulation at UF Fixel Institute found only an unrelated Radboud/UF study, not the 40-patient sham-controlled Vibrohealth study",https://clinicaltrials.gov/study/NCT05106816,Parkinson Disease; Essential Tremor; Dystonia,Parkinson Disease; Essential Tremor; Dystonia
NCT06847581,2022-10-10,yes,OTHER,14,NOT_FOUND,NONE,,,,,,,"No NCT hit; searches for JAME wearable tremor device (Policlinico Milan, 2021-2026) returned nothing relevant",https://clinicaltrials.gov/study/NCT06847581,Parkinson Disease; Essential Tremor,Parkinson Disease; Essential Tremor
NCT06314139,2023-06-01,yes,OTHER,60,FOUND_RESULTS,SPECIFICS_MATCH,41319505,10.1016/j.nicl.2025.103918,https://pubmed.ncbi.nlm.nih.gov/41319505/,"Acute effects of a single session of multitarget continuous Theta-Burst stimulation for essential Tremor: A Randomized, Sham-Controlled trial.",2025,Neuroimage Clin,"Paper cites ChiCTR2200064037 not the NCT; West China Hospital cTBS vs sham n=60, FTM-TRS timepoints and start 2022-09 match the record line by line; NCT registered retrospectively in 2024",https://clinicaltrials.gov/study/NCT06314139,Essential Tremor; Continuous Theta Burst Stimulation,Essential Tremor; Continuous Theta Burst Stimulation
NCT04658641,2023-06-20,yes,OTHER,30,FOUND_RESULTS,NCT_ID_MATCH,35088733,10.1016/j.neurom.2021.11.002,https://pubmed.ncbi.nlm.nih.gov/35088733/,Electrophysiologic Evidence That Directional Deep Brain Stimulation Activates Distinct Neural Circuits in Patients With Parkinson Disease.,2023,Neuromodulation,KU Leuven umbrella study (PD and ET); three papers state registration NCT04658641 and report results from the PD participants only; no paper reporting the ET participants found,https://clinicaltrials.gov/study/NCT04658641,Parkinson Disease; Essential Tremor,Parkinson Disease; Essential Tremor
NCT04361955,2023-08-10,yes,OTHER,66,FOUND_RESULTS,NCT_ID_MATCH,41710158,10.3389/fnins.2026.1733633,https://pubmed.ncbi.nlm.nih.gov/41710158/,Evaluation of the myogenic effects of subthalamic nucleus deep brain stimulation at near therapeutic amplitudes.,2026,Front Neurosci,"Cleveland Clinic paper states procedures were performed under NCT04361955; reports EMG results from 16 STN-DBS PD participants, a subset of this 66-person multi-cohort protocol; no ET-cohort paper found",https://clinicaltrials.gov/study/NCT04361955,DBS; Parkinson Disease; Essential Tremor; Healthy,DBS; Parkinson Disease; Essential Tremor; Healthy
NCT03760406,2023-08-29,yes,OTHER,22,FOUND_RESULTS,SPECIFICS_MATCH,41626878,10.1227/neu.0000000000003870,https://pubmed.ncbi.nlm.nih.gov/41626878/,Enhancing Asleep Deep Brain Stimulation Targeting for Essential Tremor Using Machine Learning: The OPTIVIM Phase 2 Study.,2025,Neurosurgery,"NCT ID absent from full text but ClinicalTrials.gov links this paper as a RESULT reference; OPTIVIM phase 2, 22 patients from Bordeaux and Lyon, FTM at 3 months",https://clinicaltrials.gov/study/NCT03760406,Essential Tremor,Essential Tremor
NCT05021991,2024-02-29,yes,INDUSTRY,133,MENTIONED_ONLY,NONE,36738196,10.1002/acn3.51735,https://pubmed.ncbi.nlm.nih.gov/36738196/,T-type calcium channels as therapeutic targets in essential tremor and Parkinson's disease.,2023,Ann Clin Transl Neurol,Hits are a phase 1 PRAX-944 paper and reviews saying the phase 2 is underway; no phase 2 dose-range results paper for PRAX-944/ulixacaltamide found,https://clinicaltrials.gov/study/NCT05021991,Essential Tremor,Essential Tremor
NCT04720469,2024-03-18,yes,OTHER,11,FOUND_RESULTS,NCT_ID_MATCH,37868927,10.1002/mdc3.13882,https://pubmed.ncbi.nlm.nih.gov/37868927/,Safety of Bilateral Staged Magnetic Resonance-Guided Focused Ultrasound Thalamotomy for Essential Tremor.,2023,Mov Disord Clin Pract,"Sunnybrook letter states this prospective open-label trial (NCT04720469) screened 16, 11 underwent MRgFUS 2 (= registry enrolment); reports CRST change and adverse events",https://clinicaltrials.gov/study/NCT04720469,Essential Tremor,Essential Tremor
NCT05540626,2024-03-01,yes,INDUSTRY,276,FOUND_RESULTS,NCT_ID_MATCH,37869579,10.5334/tohm.798,https://pubmed.ncbi.nlm.nih.gov/37869579/,Comparative Effectiveness of Transcutaneous Afferent Patterned Stimulation Therapy for Essential Tremor: A Randomized Pragmatic Clinical Trial.,2023,Tremor Other Hyperkinet Mov (N Y),"Full text: registered NCT05540626; Cala Health + CVS authors, 310 randomized, 276 completers (= registry 276)",https://clinicaltrials.gov/study/NCT05540626,Essential Tremor,Essential Tremor
NCT06036368,2024-06-30,yes,INDUSTRY,23,FOUND_RESULTS,NCT_ID_MATCH,40271391,10.1016/j.prdoa.2025.100321,https://pubmed.ncbi.nlm.nih.gov/40271391/,Home-based peroneal electrical transcutaneous NeuroModulation (peroneal eTNM) in Parkinson's disease as add-on treatment - Results of a pilot study.,2025,Clin Park Relat Disord,"Full text cites the NCT with a typo (NTC06036368), which is why ID searches returned nothing; reports only the 12 PD participants of the 23 enrolled (PD + ET); no ET-arm publication found",https://clinicaltrials.gov/study/NCT06036368,Parkinson's Disease; Essential Tremor,Parkinson's Disease; Essential Tremor
NCT07526155,2024-07-24,yes,OTHER,11,UNCERTAIN,NCT_ID_MATCH,42621918,10.3389/fneur.2026.1865673,https://pubmed.ncbi.nlm.nih.gov/42621918/,Dual-target VIM-PSA deep brain stimulation using octopolar electrodes: surgical technique and feasibility study.,2026,Front Neurol,"Granada paper cites NCT07526155 and reports surgical accuracy and early safety for the same 11 patients, but explicitly states the crossover efficacy data were not assessed and describes the trial as ongoing",https://clinicaltrials.gov/study/NCT07526155,Essential Tremor (ET),Essential Tremor (ET)
NCT04265209,2024-08-02,yes,INDUSTRY,152,NOT_FOUND,NONE,,,,,,,No NCT hit; keyword searches for [18F]LBT-999 return only earlier small Tours studies and radiochemistry; no GE Healthcare 152-patient phase 3 PD-vs-ET comparison found,https://clinicaltrials.gov/study/NCT04265209,Parkinson Disease; Essential Tremor,Parkinson Disease; Essential Tremor
NCT05956223,2024-11-20,yes,OTHER,43,NOT_FOUND,NONE,,,,,,,"No NCT hit; searches for VR tremor measurement (Szmulewicz, Bionics Institute) returned nothing reporting a 43-participant system",https://clinicaltrials.gov/study/NCT05956223,Essential Tremor; Dystonia,Essential Tremor; Dystonia
NCT06343285,2024-11-12,yes,INDUSTRY,71,MENTIONED_ONLY,NONE,39553441,10.5334/tohm.930,https://pubmed.ncbi.nlm.nih.gov/39553441/,Shaking Up Essential Tremor: Peripheral Devices and Mechanical Strategies to Reduce Tremor.,2024,Tremor Other Hyperkinet Mov (N Y),Review says of the Encora device: a larger sham-controlled trial has been completed but not presented (NCT06343285); no results paper,https://clinicaltrials.gov/study/NCT06343285,Essential Tremor,Essential Tremor
NCT05216250,2025-02-03,yes,INDUSTRY,174,MENTIONED_ONLY,NONE,42729179,10.3389/fneur.2026.1886329,https://pubmed.ncbi.nlm.nih.gov/42729179/,Efficacy and safety of botulinum toxin type a for upper-limb essential tremor: a systematic review and meta-analysis of randomized placebo-controlled trials.,2026,Front Neurol,"Only hit is a 2026 meta-analysis whose full text says ELATE/NCT05216250 was summarised narratively because registry, sponsor and conference sources did not provide a complete dataset; no peer-reviewed results as of 2026",https://clinicaltrials.gov/study/NCT05216250,Upper Limb Essential Tremor (UL ET),Upper Limb Essential Tremor (UL ET)
NCT06397391,2025-04-04,yes,OTHER,5,MENTIONED_ONLY,NONE,40415659,10.1002/mdc3.70147,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=NCT06397391&format=json,Current and Emerging Therapeutic Targets for Essential Tremor: A Critical Appraisal of Recent Preclinical and Clinical Studies.,2025,Mov Disord Clin Pract,Sole hit is a narrative review via Europe PMC full-text index (XML returned HTTP 500 twice); 5-patient Lyon trial completed 2025-04; NOT_FOUND expected,https://clinicaltrials.gov/study/NCT06397391,Essential Tremor,Essential Tremor
NCT03465761,2025-11-17,no,INDUSTRY,7,UNCERTAIN,NONE,33906933,10.1136/jnnp-2020-325278,https://pubmed.ncbi.nlm.nih.gov/33906933/,Bilateral staged magnetic resonance-guided focused ultrasound thalamotomy for the treatment of essential tremor: a case series study.,2021,J Neurol Neurosurg Psychiatry,"NCT ID appears only in reviews; HM CINAC Insightec-funded staged bilateral FUS case series is plausibly the same programme but reports 9 patients from CINAC + Zurich (registry 7, CINAC + Imperial) and predates primary completion; not confirmable",https://clinicaltrials.gov/study/NCT03465761,Essential Tremor,Essential Tremor
NCT05671848,2025-11-26,no,OTHER,10,MENTIONED_ONLY,NONE,38004040,10.3390/medicina59111991,https://pubmed.ncbi.nlm.nih.gov/38004040/,Deep Brain Stimulation for the Management of Refractory Neurological Disorders: A Comprehensive Review.,2023,Medicina (Kaunas),Only hit is a review table listing NCT05671848; completed 2025-11; NOT_FOUND expected,https://clinicaltrials.gov/study/NCT05671848,Essential Tremor,Essential Tremor
NCT06403280,2026-03-31,no,OTHER,45,NOT_FOUND,NONE,,,,,,,No NCT hit; alcohol/tremor crossover searches 2024-2026 return nothing; completed 2026-03 so no publication expected yet,https://clinicaltrials.gov/study/NCT06403280,Essential Tremor; Dystonia; Parkinson Disease,Essential Tremor; Dystonia; Parkinson Disease
NCT00223743,,,FED,25,FOUND_RESULTS,SPECIFICS_MATCH,19117357,10.1002/mds.22418,https://pubmed.ncbi.nlm.nih.gov/19117357/,Zonisamide for essential tremor: an evaluator-blinded study.,2009,Mov Disord,"No NCT-ID hit (2005-era registration); Handforth (VA GLA) single-site rising-dose zonisamide study with blinded video rating, n=25 (= registry enrolment), design matches registry",https://clinicaltrials.gov/study/NCT00223743,Essential Tremor,Essential Tremor
NCT01250067,,,OTHER,,UNCERTAIN,NONE,20097128,10.1016/j.clinph.2009.12.014,https://pubmed.ncbi.nlm.nih.gov/20097128/,The Bereitschaftspotential in essential tremor.,2010,Clin Neurophysiol,"Same lab, PI and funder as registry (China Medical University Hospital, Tsai), compares BP in ET vs controls, but published before the retrospective registration and source analysis not evident; cannot confirm",https://clinicaltrials.gov/study/NCT01250067,Essential Tremor; Movement-related Cortical Potentials,Essential Tremor; Movement-related Cortical Potentials
NCT01978080,,,INDUSTRY,39,FOUND_RESULTS,SPECIFICS_MATCH,30746399,10.1002/mdc3.12554,https://pubmed.ncbi.nlm.nih.gov/30746399/,Does Added Objective Tremor Monitoring Improve Clinical Outcomes in Essential Tremor Treatment?,2017,Mov Disord Clin Pract,"Europe PMC full-text term probes confirm randomized, blinded, Kinesia, CGI, Rush, Baylor, Great Lakes NeuroTechnologies, NIA, all matching registry; authors include registry PI (Heldman); n=39 unverified as full text blocked",https://clinicaltrials.gov/study/NCT01978080,Essential Tremor,Essential Tremor
