nct_id,title,conditions,status,phase,start_date,completion_date,months_since_completion,enrollment,sponsor_name,sponsor_class,results_posted,registry_url
NCT01334814,Chronic Versus Intermittent Deep Brain Stimulation for Essential Tremor,Essential Tremor,COMPLETED,NA,2002-01,2010-01,200,8,Mayo Clinic,OTHER,no,https://clinicaltrials.gov/study/NCT01334814
NCT07484152,Motor and Non-Motor Effects of Low-Intensity Focused Ultrasound (LIFU) as a Neuromodulation Tool in Essential Tremor,Essential Tremor (ET),NOT_YET_RECRUITING,PHASE1|PHASE2,2026-03-17,2028-12-10,-27,20,University of Sao Paulo General Hospital,OTHER,no,https://clinicaltrials.gov/study/NCT07484152
NCT06312800,Acamprosate and Methazolamide for Essential Tremor,Essential Tremor,WITHDRAWN,PHASE2,2016-03,2017-12,105,,Henry Ford Health System,OTHER,no,https://clinicaltrials.gov/study/NCT06312800
NCT02909907,Comparison of Botulinum Toxin Injections in Forearm FLexor Plus EXtensor Muscles vs. Flexor Muscles Alone for Treatment of Essential Hand Tremor(FLEX-D ET),Essential Tremor,COMPLETED,NA,2016-08,2018-02-28,103,21,The Cleveland Clinic,OTHER,yes,https://clinicaltrials.gov/study/NCT02909907
NCT06932692,The BRAINMAP-DBS Study: BRain Network AnalysIs usiNg 7-Tesla MRI and MAgnetoencephalograPhy for Deep Brain Stimulation,Deep Brain Stimulation; Parkinson Disease; Essential Tremor; Magnetoencephalography (MEG); MRI,RECRUITING,NA,2024-04-23,2035-12-31,-111,500,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),OTHER,no,https://clinicaltrials.gov/study/NCT06932692
NCT02894567,Evaluation of Directional Recording and Stimulation Using spiderSTN,Parkinson's Disease; Essential Tremor,TERMINATED,NA,2016-09,2017-02,115,6,Aleva Neurotherapeutics SA,INDUSTRY,no,https://clinicaltrials.gov/study/NCT02894567
NCT07078422,Home Use Study of Targeted Mechanical Stimulation for Tremor Relief,Essential Tremor; Parkinson&#39;s Disease,RECRUITING,NA,2025-01-01,2026-06,3,80,"Encora, Inc.",INDUSTRY,no,https://clinicaltrials.gov/study/NCT07078422
NCT04957095,Motor Network Physiology,Parkinson Disease; Essential Tremor,RECRUITING,NA,2022-02-18,2028-12-01,-27,120,University of Texas Southwestern Medical Center,OTHER,no,https://clinicaltrials.gov/study/NCT04957095
NCT05968976,Multicentre RCT of Awake Versus Asleep Tractography Based DBS for ET,Essential Tremor; Deep Brain Stimulation; Diffusion Tensor Imaging; Magnetic Resonance; Central Nervous System Diseases,RECRUITING,NA,2024-02-01,2028-07-01,-22,110,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),OTHER,no,https://clinicaltrials.gov/study/NCT05968976
NCT07774598,Non-Invasive Neuromodulation for Essential Tremor: Long-Term Safety and Effectiveness Study,Essential Tremor,RECRUITING,NA,2025-12-15,2027-06-15,-9,50,Ruijin Hospital,OTHER,no,https://clinicaltrials.gov/study/NCT07774598
NCT07526155,Clinical Trial to Compare VIM vs PSA Bilateral Deep Brain Stimulation in Patients With Essential Tremor,Essential Tremor (ET),COMPLETED,NA,2020-05-27,2024-07-24,26,11,Fundación Pública Andaluza para la Investigación Biomédica Andalucía Oriental,OTHER,no,https://clinicaltrials.gov/study/NCT07526155
NCT05540626,RWE Study Utilizing the Cala Trio Device in Patients With Essential Tremor,Essential Tremor,COMPLETED,NA,2021-04-08,2024-03-01,30,276,"Cala Health, Inc.",INDUSTRY,no,https://clinicaltrials.gov/study/NCT05540626
NCT02052271,Experimental Therapeutics in Essential Tremor Using Cerebellar Transcranial Direct Current Stimulation,Essential Tremor,COMPLETED,NA,2014-06-03,2018-03-27,102,16,"Institut National de la Santé Et de la Recherche Médicale, France",OTHER_GOV,no,https://clinicaltrials.gov/study/NCT02052271
NCT06635811,Circadian Adaptive DBS in Essential Tremor,"Essential Tremor; Essential Tremor (ET); Essential Tremor, Movement Disorders",RECRUITING,NA,2025-05-01,2029-10,-37,25,University of Florida,OTHER,no,https://clinicaltrials.gov/study/NCT06635811
NCT07446192,Magnetoencephalography (MEG) Pilot Study,Essential Tremor,RECRUITING,NA,2026-02-17,2027-08,-11,10,University of Florida,OTHER,no,https://clinicaltrials.gov/study/NCT07446192
NCT03305588,RAD 1601: EDGE Radiosurgery for Intractable Essential Tremor and Tremor-Dominant Parkinson's Disease,Essential Tremor; Parkinson Disease,ACTIVE_NOT_RECRUITING,NA,2017-12-05,2026-09-01,0,40,University of Alabama at Birmingham,OTHER,no,https://clinicaltrials.gov/study/NCT03305588
NCT07056361,Stimulating Specific Brain Areas (VOP/VIM) With Electricity to Improve Movement and Muscle Control,"Movement Disorders (Incl Parkinsonism); Stroke; Traumatic Brain Injury; Brain Diseases; Parkinson Disease; Essential Tremor, Movement Disorders",RECRUITING,NA,2022-12-16,2030-12-31,-51,60,Jorge Gonzalez-Martinez,OTHER,no,https://clinicaltrials.gov/study/NCT07056361
NCT03560622,Functional Neuroimaging Feedback for Focused Ultrasound Thalamotomy,Essential Tremor,ACTIVE_NOT_RECRUITING,NA,2018-09-01,2021-12-31,57,30,Vibhor Krishna,OTHER,no,https://clinicaltrials.gov/study/NCT03560622
NCT04260971,Cyclic Deep Brain Stimulation in Essential Tremor,Essential Tremor,UNKNOWN,NA,2020-02-25,2022-12-31,45,15,King's College Hospital NHS Trust,OTHER,no,https://clinicaltrials.gov/study/NCT04260971
NCT06899022,Attention and Eye Movement in Parkinson's Disease,Essential Tremor; Parkinson&#39;s Disease (PD); Dystonias,RECRUITING,NA,2025-09-22,2028-08,-23,138,University of Nebraska,OTHER,no,https://clinicaltrials.gov/study/NCT06899022
NCT03152136,A Pilot Study of the Cala ONE Device for Essential Tremor,Essential Tremor,COMPLETED,NA,2017-07-26,2018-03-08,102,62,"Cala Health, Inc.",INDUSTRY,yes,https://clinicaltrials.gov/study/NCT03152136
NCT01698450,Magnetic Resonance (MR) Guided Functional Ultrasound-Neurosurgery for Movement Disorders,Essential Tremor; Dystonia; Parkinson's Disease,COMPLETED,PHASE1,2012-11,2013-12,153,10,"University Children's Hospital, Zurich",OTHER,no,https://clinicaltrials.gov/study/NCT01698450
NCT07344194,Dual-Site Transcranial Magnetic Stimulation of the Supplementary Motor Area and Cerebellum for the Treatment of Essential Tremor.,Essential Tremor,RECRUITING,PHASE1|PHASE2,2026-01-15,2027-01,-4,36,São Paulo State University,OTHER,no,https://clinicaltrials.gov/study/NCT07344194
NCT05089786,Echo-Focusing in Patients With Treatment-Resistant Neurologic and Psychiatric Indications (EF001),Essential Tremor; Neurology,WITHDRAWN,NA,2022-12-31,2025-02-28,19,,InSightec,INDUSTRY,no,https://clinicaltrials.gov/study/NCT05089786
NCT04766723,A Study to Investigate the Efficacy and Safety of NT 201 (Botulinum Toxin) Compared With Placebo for the Treatment of Adult Participants With Essential Tremor in the Arm,Essential Tremor of the Upper Limb,COMPLETED,PHASE2,2021-02-24,2023-11-21,34,78,Merz Pharmaceuticals GmbH,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT04766723
NCT05976074,A Study of Wearable Device in Essential Tremor Patients,Essential Tremor,ENROLLING_BY_INVITATION,NA,2023-07-07,2026-08,1,50,Mayo Clinic,OTHER,no,https://clinicaltrials.gov/study/NCT05976074
NCT05308368,Analysis and Suppression of Tremor During Grasp Using Ultrasound Imaging and Electrical Stimulation,Parkinson Disease; Essential Tremor,COMPLETED,NA,2021-04-11,2025-07-31,14,12,North Carolina State University,OTHER,yes,https://clinicaltrials.gov/study/NCT05308368
NCT03795935,Relief From Side Effects: Clinical Use of Electrodes With Direction,Deep Brain Stimulation; Directional Lead; Essential Tremor,UNKNOWN,NA,2018-09-17,2019-08-01,85,6,University of British Columbia,OTHER,no,https://clinicaltrials.gov/study/NCT03795935
NCT06821906,Stereotactic Radiosurgery in the Treatment of Essential Tremor,Essential Tremor,RECRUITING,PHASE2,2024-12-16,2030-05,-44,42,Maria Sklodowska-Curie National Research Institute of Oncology,OTHER,no,https://clinicaltrials.gov/study/NCT06821906
NCT04661241,Mapping the Target for the MRgFUS Treatment of Tremor,"Tremor, Essential; Parkinson's Disease",COMPLETED,NA,2020-09-10,2022-06-15,51,6,NYU Langone Health,OTHER,no,https://clinicaltrials.gov/study/NCT04661241
NCT02277106,Evaluate SAGE-547 in Participants With Essential Tremor,Essential Tremor,COMPLETED,PHASE2,2014-09-23,2015-08-14,133,25,Sage Therapeutics,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT02277106
NCT04748640,Bilateral Essential Tremor Treatment With Gamma Knife,Essential Tremor,RECRUITING,PHASE2|PHASE3,2021-06-08,2026-10,-1,50,Université de Sherbrooke,OTHER,no,https://clinicaltrials.gov/study/NCT04748640
NCT06428526,Impact of Sensory Electrical Stimulation on Sensation and Tremor,Essential Tremor; Healthy Individuals,SUSPENDED,NA,2025-01-24,2026-07-15,2,40,Shirley Ryan AbilityLab,OTHER,no,https://clinicaltrials.gov/study/NCT06428526
NCT03805750,Trial of Cannabis for Essential Tremor,Essential Tremor,COMPLETED,PHASE1|PHASE2,2019-01-22,2020-11-30,70,7,"University of California, San Diego",OTHER,yes,https://clinicaltrials.gov/study/NCT03805750
NCT05956223,The Development of a System for Measurement of Tremor,Essential Tremor; Dystonia,COMPLETED,NA,2023-11-30,2024-11-20,22,43,The Bionics Institute of Australia,OTHER,no,https://clinicaltrials.gov/study/NCT05956223
NCT06397391,Nonlinear Absorber in Essential Tremor Treatment,Essential Tremor,COMPLETED,NA,2024-08-30,2025-04-04,17,5,Hospices Civils de Lyon,OTHER,no,https://clinicaltrials.gov/study/NCT06397391
NCT00001986,1-Octanol to Treat Essential Tremor,Essential Tremor,COMPLETED,PHASE1,2000-01,2001-01,308,12,National Institute of Neurological Disorders and Stroke (NINDS),NIH,no,https://clinicaltrials.gov/study/NCT00001986
NCT05387642,A Clinical Trial of PRAX-114 in Participants With Essential Tremor,Essential Tremor,WITHDRAWN,PHASE2,2022-04-05,2022-06-30,51,,Praxis Precision Medicines,INDUSTRY,no,https://clinicaltrials.gov/study/NCT05387642
NCT05480215,Symptomatic Relief of Action Tremor With Cala Trio Using Trio+ Bands,Essential Tremor; Parkinson Disease,COMPLETED,NA,2021-10-07,2021-12-16,57,20,"Cala Health, Inc.",INDUSTRY,no,https://clinicaltrials.gov/study/NCT05480215
NCT02491554,Deep braIn Stimulation for Tremor TractographIC Versus Traditional,Essential Tremor,UNKNOWN,NA,2015-08,2022-06-30,51,24,University Hospital Freiburg,OTHER,no,https://clinicaltrials.gov/study/NCT02491554
NCT06314139,Tolerability and Efficacy of Continuous Theta-burst Stimulation for Essential Tremor: A Randomized Study.,Essential Tremor; Continuous Theta Burst Stimulation,COMPLETED,NA,2022-09-01,2023-06-01,39,60,West China Hospital,OTHER,no,https://clinicaltrials.gov/study/NCT06314139
NCT05897775,Coordinated Reset Deep Brain Stimulation for Essential Tremor,Essential Tremor; Upper Extremity Essential Tremor,RECRUITING,PHASE1,2023-09-11,2028-12-31,-27,23,University of Minnesota,OTHER,no,https://clinicaltrials.gov/study/NCT05897775
NCT03832712,The Swedish Essential Tremor (SWEET) Trial,Essential Tremor,RECRUITING,NA,2018-06-30,2027-01-30,-4,100,Karolinska Institutet,OTHER,no,https://clinicaltrials.gov/study/NCT03832712
NCT03101241,A Phase 2 RCT Study of CX-8998 for Essential Tremor,Essential Tremor,COMPLETED,PHASE2,2017-08-29,2018-07-16,98,95,Jazz Pharmaceuticals,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT03101241
NCT05101161,Neurofeedback Using Implanted Deep Brain Stimulation Electrodes,Parkinson Disease; Epilepsy; Essential Tremor,RECRUITING,NA,2021-09-23,2028-09-23,-24,50,ETH Zurich,OTHER,no,https://clinicaltrials.gov/study/NCT05101161
NCT06235190,Assessment of the Safety and Efficacy of the Felix NeuroAI Wristband in Essential Tremor,Essential Tremor,COMPLETED,NA,2024-02-27,2025-11-06,10,125,Fasikl Inc.,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT06235190
NCT03025529,Transcranial Stimulation for Essential Tremor,Essential Tremor,TERMINATED,NA,2015-02,2016-11-28,118,8,Beth Israel Deaconess Medical Center,OTHER,no,https://clinicaltrials.gov/study/NCT03025529
NCT00223743,A Safety/Efficacy Trial of Zonisamide for Essential Tremor,Essential Tremor,COMPLETED,PHASE2,2004-11,,,25,VA Greater Los Angeles Healthcare System,FED,no,https://clinicaltrials.gov/study/NCT00223743
NCT00655278,T2000 in Essential Tremor - Open Label Continuation,Essential Tremor,TERMINATED,PHASE2,2007-08,2009-12,201,5,"Sun Pharmaceutical Industries, Inc.",INDUSTRY,no,https://clinicaltrials.gov/study/NCT00655278
NCT00236496,A Comparison of the Efficacy and Safety of Topiramate Versus Placebo in Treating Tremor of Unknown Cause.,Essential Tremor,COMPLETED,PHASE3,2001-10,2004-02,271,223,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,no,https://clinicaltrials.gov/study/NCT00236496
NCT00080366,Octanol to Treat Essential Tremor,Essential Tremor,COMPLETED,PHASE2,2004-03,2007-03,234,14,National Institute of Neurological Disorders and Stroke (NINDS),NIH,no,https://clinicaltrials.gov/study/NCT00080366
NCT00620165,Efficacy of Levetiracetam in Essential Tremor,Essential Tremor,COMPLETED,PHASE1|PHASE2,2005-01,2008-03,222,10,Southern California Institute for Research and Education,OTHER,no,https://clinicaltrials.gov/study/NCT00620165
NCT02037217,ExAblate Transcranial MR Guided Focused Ultrasound in the Treatment of Essential Tremor,Essential Tremor,COMPLETED,PHASE1,2011-02,2014-01,152,10,InSightec,INDUSTRY,no,https://clinicaltrials.gov/study/NCT02037217
NCT07508696,Cerebellar Research in Ultrasound Stimulation,Essential Tremor,NOT_YET_RECRUITING,NA,2026-06-01,2028-10-01,-25,60,KU Leuven,OTHER,no,https://clinicaltrials.gov/study/NCT07508696
NCT07049003,Deep Brain Stimulation of the Deep Cerebellar Nuclei for Refractory Tremor,Tremor; Essential Tremor,RECRUITING,PHASE1,2026-01-15,2029-12-31,-39,12,The Cleveland Clinic,OTHER,no,https://clinicaltrials.gov/study/NCT07049003
NCT07302867,Neuromodulation Strategies for Treatment-Resistant Essential Tremor Using Chronos™ DBS,Essential Tremor,NOT_YET_RECRUITING,NA,2026-04-01,2028-04-01,-19,5,University of British Columbia,OTHER,no,https://clinicaltrials.gov/study/NCT07302867
NCT05362448,Neurophysiologic Assessment of ET Patients Treated by Vim DBS,Essential Tremor,UNKNOWN,NA,2022-05-23,2022-11-01,46,20,University College London Hospitals,OTHER,no,https://clinicaltrials.gov/study/NCT05362448
NCT05106816,The Effects of Vibrotactile Stimulation in Patients With Movement Disorders,Parkinson Disease; Essential Tremor; Dystonia,COMPLETED,NA,2021-10-07,2022-09-20,48,40,University of Florida,OTHER,no,https://clinicaltrials.gov/study/NCT05106816
NCT03952117,Transcranial Direct Current Stimulation of the Motor Cortex in Essential Tremor,Essential Tremor; Transcranial Direct Current Stimulation,UNKNOWN,NA,2019-07-19,2021-10,59,40,Lebanese American University,OTHER,no,https://clinicaltrials.gov/study/NCT03952117
NCT02649166,Responsive Deep Brain Stimulator for Essential Tremor,Essential Tremor,ACTIVE_NOT_RECRUITING,NA,2017-02-01,2027-06-30,-9,20,University of Florida,OTHER,no,https://clinicaltrials.gov/study/NCT02649166
NCT05096572,DBS of Posterior Subthalamic Area (PSA) and Ventral Intermediate Nucleus (VIM) in Essential Tremor (ET),Essential Tremor,TERMINATED,NA,2021-11-30,2023-10-30,35,1,"St. Joseph's Hospital and Medical Center, Phoenix",OTHER,no,https://clinicaltrials.gov/study/NCT05096572
NCT03465761,Staged Bilateral Exablate Treatment of Medication Refractory Essential Tremor,Essential Tremor,COMPLETED,NA,2019-01-03,2025-11-17,10,7,InSightec,INDUSTRY,no,https://clinicaltrials.gov/study/NCT03465761
NCT01250067,Motor-related Cortical Potential in Patients With Essential Tremor,Essential Tremor; Movement-related Cortical Potentials,COMPLETED,NA,2003-08,,,,China Medical University Hospital,OTHER,no,https://clinicaltrials.gov/study/NCT01250067
NCT04074031,Transcranial Ultrasound Therapy of Essential Tremor,Essential Tremor,UNKNOWN,NA,2020-01-07,2024-10-04,23,15,Assistance Publique - Hôpitaux de Paris,OTHER,no,https://clinicaltrials.gov/study/NCT04074031
NCT04265209,[18F] LBT-999 PET Compared to [123I]-FP/CIT SPECT to Distinguish Between Parkinson's Diseases and Essential Tremor,Parkinson Disease; Essential Tremor,COMPLETED,PHASE3,2021-12-01,2024-08-02,25,152,GE Healthcare,INDUSTRY,no,https://clinicaltrials.gov/study/NCT04265209
NCT04727658,Linac FRACtionated Radiosurgical THALamotomie in Tremors (FRACTHAL),Essential Tremor; Parkinsonian Disorders,TERMINATED,PHASE2,2021-07-01,2024-06-20,27,9,Centre Hospitalier Universitaire de Nice,OTHER,no,https://clinicaltrials.gov/study/NCT04727658
NCT03597100,Prospective Study for Symptomatic Relief of ET With Cala Therapy,Essential Tremor,COMPLETED,NA,2018-12-14,2019-05-29,88,263,"Cala Health, Inc.",INDUSTRY,yes,https://clinicaltrials.gov/study/NCT03597100
NCT06847581,"JAME, a Wearable Device to Control Tremor",Parkinson Disease; Essential Tremor,COMPLETED,NA,2022-03-03,2022-10-10,47,14,"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico",OTHER,no,https://clinicaltrials.gov/study/NCT06847581
NCT02255929,Gamma Knife Radiosurgery for Treatment of Essential Tremor,Essential Tremor,UNKNOWN,NA,2014-09,2023-12,33,183,Swedish Medical Center,OTHER,no,https://clinicaltrials.gov/study/NCT02255929
NCT02289560,Continued Access Protocol: ExAblate Transcranial MR Guided Focused Ultrasound for the Treatment of Essential Tremors,Essential Tremor,COMPLETED,NA,2015-04,2023-03-10,42,61,InSightec,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT02289560
NCT07455760,Investigating Subcortical Contributions to Speech Sequencing in Deep Brain Stimulator Recipients,Parkinson's Disease (PD); Essential Tremor,RECRUITING,NA,2026-02-18,2030-08,-47,80,Boston University Charles River Campus,OTHER,no,https://clinicaltrials.gov/study/NCT07455760
NCT04283812,New Stereotactic Frame System for Neurosurgery,Parkinson Disease; Essential Tremor; Dystonia; Tourette Syndrome; Obsessive-Compulsive Disorder,WITHDRAWN,NA,2023-01,2023-06,39,,Mayo Clinic,OTHER,no,https://clinicaltrials.gov/study/NCT04283812
NCT07673107,Study of AGN-151607-DP to Assess Adverse Events and Change in Disease Activity in Adult Participants With Upper Limb Essential Tremor,Upper Limb Essential Tremor,RECRUITING,PHASE2,2026-06-18,2028-11,-26,94,AbbVie,INDUSTRY,no,https://clinicaltrials.gov/study/NCT07673107
NCT02711995,Essential Voice Tremor: A Study of Botulinum Toxin Treatment and Injection Augmentation,Essential Tremor,COMPLETED,NA,2015-12-15,2016-09-29,120,8,Weill Medical College of Cornell University,OTHER,yes,https://clinicaltrials.gov/study/NCT02711995
NCT00321087,A Study of T2000 in Essential Tremor,Essential Tremor,TERMINATED,PHASE2,2006-08,2007-12,225,10,"Sun Pharmaceutical Industries, Inc.",INDUSTRY,no,https://clinicaltrials.gov/study/NCT00321087
NCT02264925,"Thalamic LFPs and VIM DBS in Essential Tremor: Correlation, Evolution, and Therapeutic Perspectives",Essential Tremor,COMPLETED,NA,2014-11,2020-11-19,70,12,"University Hospital, Bordeaux",OTHER,no,https://clinicaltrials.gov/study/NCT02264925
NCT05021978,A Clinical Trial of PRAX-944 in Participants With Essential Tremor,Essential Tremor,COMPLETED,PHASE2,2020-03-03,2022-03-24,54,24,Praxis Precision Medicines,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT05021978
NCT02553525,Effects of Stimulation Patterns of Deep Brain Stimulation,Parkinson Disease; Essential Tremor; Multiple Sclerosis; Dystonia,ENROLLING_BY_INVITATION,NA,2016-06-02,2027-03,-6,180,Duke University,OTHER,no,https://clinicaltrials.gov/study/NCT02553525
NCT04880616,"Safety, Efficacy, and Tolerability of NBI-827104 for the Treatment of Essential Tremor",Essential Tremor,COMPLETED,PHASE2,2021-04-20,2022-06-08,51,31,Neurocrine Biosciences,INDUSTRY,no,https://clinicaltrials.gov/study/NCT04880616
NCT05317390,Clinical Validation of DystoniaNet Deep Learning Platform for Diagnosis of Isolated Dystonia,Dystonia; Drug Induced Dystonia; Parkinson Disease; Essential Tremor; Dyskinesias; Myoclonus; Tic Disorders; Torticollis; Ulnar Nerve Entrapment; Temporomandibular Joint Disorders; Dysphonia,RECRUITING,NA,2022-06-01,2028-04-30,-19,1000,Massachusetts Eye and Ear Infirmary,OTHER,no,https://clinicaltrials.gov/study/NCT05317390
NCT04212780,Dual Lead Thalamic Deep Brain Recording (DBR)-DBS Interface for Closed Loop Control of Severe Essential Tremor,Essential Tremor,RECRUITING,NA,2019-12-24,2029-12-31,-39,10,University of Florida,OTHER,no,https://clinicaltrials.gov/study/NCT04212780
NCT01581580,Deep Brain Stimulation Surgery for Movement Disorders,Parkinson's Disease; Essential Tremor; Dystonia,RECRUITING,NA,2011-08-17,2029-12-01,-39,200,National Institute of Neurological Disorders and Stroke (NINDS),NIH,no,https://clinicaltrials.gov/study/NCT01581580
NCT02111369,Propranolol and Botulinum Toxin for Essential Vocal Tremor,Essential Vocal Tremor; Essential Voice Tremor; Essential Tremor; Voice Tremor; Vocal Tremor,COMPLETED,PHASE4,2014-05,2014-11,142,18,Emory University,OTHER,yes,https://clinicaltrials.gov/study/NCT02111369
NCT02551848,Kinematic-based BoNT-A Injections for Bilateral ET,Essential Tremor,UNKNOWN,PHASE2,2014-08,2021-12,57,25,"Western University, Canada",OTHER,no,https://clinicaltrials.gov/study/NCT02551848
